"table_name","file_path","nrow","ncol","sha256"
"per_time","crps_forecast_per_time.csv",64,14,"49226fd5b768ad405953819cc2b83106a514378de9361d4ffcc2c675f0d404ad"
"summary","crps_forecast_summary.csv",3,19,"7727a9ac143f17e29dacc54dedde2051e2606554b185fef7dac2f642ad8b3676"
"crps_truth_availability","crps_truth_availability.csv",3,7,"4c3477002af2b8d0ddc976e03f4b32e4270a18d35e0021f22efffd0c182b7b7b"
"gamma","gamma_summary.csv",21,7,"def2439211e9db70077da9b6bca9c8cb4d375615c6d7c4d6c8121ae0f9c4bf59"
"sigma","sigma_summary.csv",21,7,"9c914511690ad29fc5d7e6b86cabc41792f58c35efaf07eba7b6c8fca965f910"
"covariate_effects","covariate_effects_summary.csv",27,8,"0601b6d18cc5e1caa2c5366fad520f8877b64f92ab2bdcc1007a2ca62e8d1bb1"
"summary","crps_input_health.csv",3,26,"74783fba905ea552396563aa41a7a05a0bbeaf363abaca6e1d7db10ba45dc199"
"per_time","crps_input_health_per_time.csv",64,20,"516ba0c24bdae5150ce538a20458d4c8d6fc87b09537a50cdba098334dc65185"
