"cutoff_date","forecast_start_date","model_id","model_family","model_variant","transfer_mode","horizon_days","n_valid","mean_crps","median_crps","sd_crps","min_crps","max_crps","n_samples_nominal","n_samples_eff_min","n_samples_eff_max","score_method","tau_rule","score_scale"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",28,28,"0.53805548474584530","0.40475073331420008","0.48046734805027752","0.10767517251136993","1.9569543827626630",2000,2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,28,28,"1.5600635885630343","1.5311672275992549","0.78988946464957455","0.29275005927285125","3.4284865317254907",51,51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","nws_nwm_ensemble","ensemble","nws_nwm",NA,8,8,"0.55680206834701040","0.49924777349309823","0.42053198365638661","0.12578321897893258","1.0508865209816396",7,7,7,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
