"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","sigma","0.0207838419012935","0.0205226956339210","0.0210430531003413","0.02052, 0.02104"
5,"NWS","sigma","0.0282906763033920","0.0279013207688315","0.0286621961249674","0.02790, 0.02866"
5,"USGS","sigma","0.0292326408028828","0.0288380304591645","0.0296496699899769","0.02884, 0.02965"
20,"GLOFAS","sigma","0.0395061852775747","0.0389998111686652","0.0400070465638867","0.03900, 0.04001"
20,"NWS","sigma","0.0657378719629379","0.0647632452001340","0.0666315369475411","0.06476, 0.06663"
20,"USGS","sigma","0.0587199644102348","0.0579335911388584","0.0595392007930611","0.05793, 0.05954"
35,"GLOFAS","sigma","0.0483275013325497","0.0476698721574979","0.0489507239742770","0.04767, 0.04895"
35,"NWS","sigma","0.0935262281302926","0.0921887293266524","0.0950036084973638","0.09219, 0.09500"
35,"USGS","sigma","0.0751889059287011","0.0741134085843116","0.0762129872315010","0.07411, 0.07621"
50,"GLOFAS","sigma","0.0525102099912893","0.0518504279842420","0.0532430905239398","0.05185, 0.05324"
50,"NWS","sigma","0.106900779373366","0.105338025970696","0.108366667724281","0.10534, 0.10837"
50,"USGS","sigma","0.0807327964638307","0.0796034138309532","0.0818959858662879","0.07960, 0.08190"
65,"GLOFAS","sigma","0.0531667993677320","0.0524688496970289","0.0539163730399870","0.05247, 0.05392"
65,"NWS","sigma","0.107801196044274","0.106302034822057","0.109258911301026","0.10630, 0.10926"
65,"USGS","sigma","0.0768636998889187","0.0758044297018626","0.0780003563344848","0.07580, 0.07800"
80,"GLOFAS","sigma","0.0441526790254732","0.0435346315176489","0.0447453325906593","0.04353, 0.04475"
80,"NWS","sigma","0.0945805190793816","0.0933786373381146","0.0958396334399021","0.09338, 0.09584"
80,"USGS","sigma","0.0676806727485770","0.0668129053919091","0.0686433442079804","0.06681, 0.06864"
95,"GLOFAS","sigma","0.0231511206331590","0.0228636938472671","0.0234523221952715","0.02286, 0.02345"
95,"NWS","sigma","0.0560201519940339","0.0553282948516198","0.0567362644436866","0.05533, 0.05674"
95,"USGS","sigma","0.0463064158913275","0.0458134725325637","0.0468121912661222","0.04581, 0.04681"
