label,filename,role,generation_mode,source_path,local_bundle_path,sha256
fig:dry_quantile,historical_summary_dry_period.png,Dry-period historical summary,rendered_from_retained_state_summary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,artifacts/historical_support_from_current_models/figures/historical_summary_dry_period.png,d7a9e356da67fad3b0b5111279d687d56465ae6fb0b5faaeaf435b59ee4407b4
fig:rainy_quantile,historical_summary_wet_period.png,Rainy-period historical summary,rendered_from_retained_state_summary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,artifacts/historical_support_from_current_models/figures/historical_summary_wet_period.png,2d4ccf013c2fbe5a9c220abb104c3410f1a635bc601443efaa2baf7b42091a4a
companion:rainy_quantile_fullrange,historical_summary_wet_period_fullrange.png,Wet-period historical summary (0-20 companion range),rendered_from_retained_state_summary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,artifacts/historical_support_from_current_models/figures/historical_summary_wet_period_fullrange.png,5dd147a611ec533410b4e4376aa4f29025622b23112b62f37f206fffbc5bf7ab
fig:80_components,historical_component_80month.png,Long-cycle component summary,rendered_from_retained_state_summary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,artifacts/historical_support_from_current_models/figures/historical_component_80month.png,f3df8dda1048ba4d67f2ef480c80f1fe9ee44848329fb5576bb365186be6a039
fig:synth2,reference_synthesis_univariate.png,Univariate transfer-active reference synthesis,copied_from_current_univar_output,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_univar/post/outputs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_univar/exdqlm_univar_synth_cutoff_window_posterior_samples.png,artifacts/historical_support_from_current_models/figures/reference_synthesis_univariate.png,daba2360b25c7fe4042ac28b7c0f72852c68b6c77d88ed3d80994cc145d15f6d
