slug,cutoff_date,published_crps,bundle_class,support_start,support_end,retrospective_available_start,retrospective_full_history_available,plot_start,plot_end,forecast_start_date,figure_name,figure_path,sha256,bytes
20210123_exal_m_t1,2021-01-23,0.1569,long_history_support_long_history_bundle,1987-05-29,2021-01-23,1987-05-29,True,2020-12-26,2021-02-20,2021-01-24,usgs.png,SOURCE_RUNTIME_REFERENCE,f6db38bdd9a097919d42da48559bf40bb67422af4217d831174ad6251779b41a,1279614
20210123_exal_m_t1,2021-01-23,0.1569,long_history_support_long_history_bundle,1987-05-29,2021-01-23,1987-05-29,True,2020-12-26,2021-02-20,2021-01-24,precip_soilmoisture_climatePC1_faceted_labeled.png,SOURCE_RUNTIME_REFERENCE,5c16a7efb31b74ff00d68c1ab6eb80f394b6a5acce94788d7a39a9355e078e87,2040982
20210123_exal_m_t1,2021-01-23,0.1569,long_history_support_long_history_bundle,1987-05-29,2021-01-23,1987-05-29,True,2020-12-26,2021-02-20,2021-01-24,retrospective_log_discharge_plot_faceted.png,SOURCE_RUNTIME_REFERENCE,28395725f0d5049ad7bb7994da3f0492ff56542ff322bb08d73113fcac90dc8b,2052571
20210123_exal_m_t1,2021-01-23,0.1569,long_history_support_long_history_bundle,1987-05-29,2021-01-23,1987-05-29,True,2020-12-26,2021-02-20,2021-01-24,forecats.png,SOURCE_RUNTIME_REFERENCE,0521a75e6f1f5ecda0eafa030aa44ce04f4cb318a53c430dd6b16df9faca4ec4,918123
20211112_exal_m_t1,2021-11-12,0.0284,long_history_support_long_history_bundle,1987-05-29,2021-11-12,1987-05-29,True,2021-10-15,2021-12-10,2021-11-13,usgs.png,SOURCE_RUNTIME_REFERENCE,7e5fbf642df40a034475d164faa647f1189a894c8df946a97b624f4b1112680f,1276328
20211112_exal_m_t1,2021-11-12,0.0284,long_history_support_long_history_bundle,1987-05-29,2021-11-12,1987-05-29,True,2021-10-15,2021-12-10,2021-11-13,precip_soilmoisture_climatePC1_faceted_labeled.png,SOURCE_RUNTIME_REFERENCE,0378a5374c2535bebd9576ac2cc9cfabd979457487338ae1d5ead07ba9c36520,2049809
20211112_exal_m_t1,2021-11-12,0.0284,long_history_support_long_history_bundle,1987-05-29,2021-11-12,1987-05-29,True,2021-10-15,2021-12-10,2021-11-13,retrospective_log_discharge_plot_faceted.png,SOURCE_RUNTIME_REFERENCE,a4cb42a688375ce497d888b1758e5fd668c26775be7069eeb3a058ec174a6b65,1926119
20211112_exal_m_t1,2021-11-12,0.0284,long_history_support_long_history_bundle,1987-05-29,2021-11-12,1987-05-29,True,2021-10-15,2021-12-10,2021-11-13,forecats.png,SOURCE_RUNTIME_REFERENCE,9881c599025c5cda95da3791e0b285b68632ed4d160c0a29237302b2c605a762,322419
20211221_exal_m_t1,2021-12-21,0.2369,long_history_support_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,usgs.png,SOURCE_RUNTIME_REFERENCE,ee464d77b856d99bdcd2f8c7781258e421011d21a511db3742457096ec46b719,1278981
20211221_exal_m_t1,2021-12-21,0.2369,long_history_support_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,precip_soilmoisture_climatePC1_faceted_labeled.png,SOURCE_RUNTIME_REFERENCE,5109f521df619ea7d5a2c2fdcdbe33eae39917177cb826e4a69f6ee7a1f8e3af,2051613
