cutoff,cutoff_display,manuscript_label,model_variant,selection_mode,source_mode,forecast_covariance_prior_label,forecast_covariance_prior_weight,best_c_factor,selected_run_name,resolved_run_dir,quantile_csv,expected_mean_crps,resolved_mean_crps,crps_abs_diff,horizon_days,provenance_path,provenance_source_run,provenance_selected_output,provenance_reuse_source_run_id,provenance_reused,provenance_source_type,provenance_forecast_covariance_prior_weight,provenance_selected_c_factor
20210123,01/23/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20210123_dqlm_multivar_al_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.1459187438242358,0.1459187438242358,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20210123_dqlm_multivar_al_keep,selected_model_20210123_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20210123,01/23/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.2310692658679936,0.2310692658679936,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20210123,01/23/2021,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20210123_exdqlm_multivar_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.1397088548478634,0.1397088548478634,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20210123_exdqlm_multivar_keep,selected_model_20210123_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20210123,01/23/2021,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.2162218779932584,0.2162218779932584,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20211112,11/12/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20211112_dqlm_multivar_al_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.0555107748586326,0.0555107748586326,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20211112_dqlm_multivar_al_keep,selected_model_20211112_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20211112,11/12/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.0779481946089521,0.077948194608952,9.71445146547012e-17,28,SOURCE_ARTICLE_REFERENCE,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20211112,11/12/2021,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20211112_exdqlm_multivar_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.0472363501409808,0.0472363501409808,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20211112_exdqlm_multivar_keep,selected_model_20211112_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20211112,11/12/2021,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.1019424799643815,0.1019424799643815,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20211221,12/21/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20211221_dqlm_multivar_al_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.2777549891687288,0.2777549891687288,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20211221_dqlm_multivar_al_keep,selected_model_20211221_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20211221,12/21/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.8704926330082864,0.8704926330082863,1.1102230246251565e-16,28,SOURCE_ARTICLE_REFERENCE,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
