cutoff_dir,cutoff_date,published_crps,bundle_class,panel_path,support_start,support_end,retrospective_available_start
20210123_exal_m_t1,2021-01-23,0.1569,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/Figures/appendix_cutoff_panels/cutoff_2021_01_23_setup_support.png,1987-05-29,2021-01-23,1987-05-29
20211112_exal_m_t1,2021-11-12,0.0284,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/Figures/appendix_cutoff_panels/cutoff_2021_11_12_setup_support.png,1987-05-29,2021-11-12,1987-05-29
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/Figures/appendix_cutoff_panels/cutoff_2021_12_21_setup_support.png,1987-05-29,2021-12-21,1987-05-29
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/Figures/appendix_cutoff_panels/cutoff_2022_05_11_setup_support.png,1987-05-29,2022-05-11,1987-05-29
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/Figures/appendix_cutoff_panels/cutoff_2022_12_25_setup_support.png,1987-05-29,2022-12-25,1987-05-29
