"target_date","member_00","member_01","member_02","member_03","member_04","member_05","member_06","member_07","member_08","member_09","member_10","member_11","member_12","member_13","member_14","member_15","member_16","member_17","member_18","member_19","member_20","member_21","member_22","member_23","member_24","member_25","member_26","member_27","member_28","member_29","member_30","member_31","member_32","member_33","member_34","member_35","member_36","member_37","member_38","member_39","member_40","member_41","member_42","member_43","member_44","member_45","member_46","member_47","member_48","member_49","member_50"
"2021-01-24",1.4296875,1.171875,1.3984375,1.109375,1.1171875,2.59375,1.7109375,1.7265625,1.0703125,1.734375,1.203125,1.390625,1.0859375,0.78125,1.71875,1.78125,2.8046875,1.265625,1.8125,1.625,1.265625,2.0625,0.625,0.9921875,0.6796875,1.515625,2.5625,1.5390625,1.1171875,2.0625,1.0390625,0.9765625,0.9375,1.65625,1.1875,1.671875,1.453125,1.1015625,1.2265625,2.5625,0.9140625,2.8046875,0.9765625,0.9296875,1.859375,1.40625,1.515625,1.4296875,2.1796875,2.1953125,1.078125
"2021-01-25",1.9921875,1.234375,1.625,2.6953125,1.9140625,2.2578125,3.890625,1.7109375,0.9609375,1.96875,1.59375,1.171875,2.484375,2.6484375,1.75,1.421875,2.75,3.4140625,1.8046875,1.53125,1.203125,2.4921875,0.9609375,1.8828125,2.328125,1.1953125,1.890625,1.9140625,1.6640625,2.3046875,2,1.484375,2.859375,1.5,1.78125,2.3828125,3.171875,1.5703125,1.4140625,2.71875,1.828125,2.984375,1.3359375,2.6796875,2.125,1.8671875,1.875,2.0703125,3.828125,1.9609375,1.7734375
"2021-01-26",1.484375,0.9921875,1.5234375,2,1.4453125,1.9140625,2.90625,1.390625,0.765625,1.7265625,1.3671875,4.3828125,2.0546875,2.2421875,6.6953125,1.0859375,3.4140625,3.015625,2.4140625,2.3046875,1.859375,1.796875,3.0625,2.796875,2.328125,1.1796875,2.9765625,1.5,2.046875,2.9609375,1.5078125,4,2.5546875,1.1328125,1.4921875,1.96875,2.25,2.0625,1.1796875,2.9921875,6.3984375,2.1015625,1.109375,1.953125,1.625,1.40625,7.5390625,1.75,2.8046875,1.9140625,2.359375
"2021-01-27",27.453125,40.265625,22.9765625,34.578125,14.1953125,34.2734375,65.8671875,13.2265625,20.65625,35.234375,18.515625,18.109375,39.25,46.6171875,37.7890625,23.21875,16.7109375,21.53125,41.765625,24.078125,19.2890625,14.5390625,24.9609375,28.1484375,32.3828125,30.7734375,37.9609375,23.359375,32.859375,33.84375,24.9296875,18.75,28.7890625,13.8125,22.640625,56.734375,34.9453125,17.78125,34,21.9765625,20.140625,34.2421875,27.828125,27.7421875,16.7734375,24.453125,14.7734375,30.859375,37.6953125,34.4609375,27.8671875
"2021-01-28",20.53125,30.375,13.578125,65.640625,11.546875,17.125,34.59375,12.796875,14.453125,21.703125,23.40625,13.671875,23.34375,79.1875,56.65625,20.34375,14.90625,17.640625,19.59375,20.53125,18.375,11.625,23.140625,26.03125,18.578125,22.375,50.9375,33.84375,21.40625,21.53125,19.875,16.53125,20.21875,13.90625,38.140625,31.40625,17.703125,17.25,31.28125,11.84375,42.890625,18.5625,22.046875,17.65625,55.40625,19.734375,10.953125,24.3125,46.84375,18.171875,17.40625
"2021-01-29",11.984375,18.1875,7.734375,29.796875,10.578125,9.265625,21.046875,8.734375,9.390625,19.21875,16.015625,9.40625,26.265625,45.328125,34.875,15.640625,8.890625,9.65625,10.90625,11.4375,9.9375,6.8125,12.484375,15.046875,13.53125,12.46875,25.421875,19.5625,11.4375,11.234375,10.5625,14.203125,11.953125,8.171875,39.015625,26.390625,9.515625,20.265625,35.9375,6.796875,31.890625,9.921875,13.734375,9.8125,48.71875,15.671875,6.5625,16.515625,33.921875,10.578125,11.109375
"2021-01-30",16.078125,12.390625,10.421875,16.609375,6.25,5.53125,11.375,7.640625,14.828125,13.671875,8.796875,5.625,28.453125,34.734375,17.609375,8.8125,11.671875,5.71875,11.890625,19.359375,6.21875,4.25,14.046875,24.234375,13.109375,15.21875,37.6875,15.75,9.515625,9.234375,17.90625,21.203125,12.828125,13.140625,18.328125,13.78125,9.328125,22.359375,17.40625,4.25,19.1875,5.859375,22.015625,13.21875,23.40625,23.703125,8.625,22.140625,21.78125,19.03125,13.515625
"2021-01-31",18,9.9375,6.21875,15.15625,3.9375,3.875,10.65625,11.3125,16.828125,10.4375,5.296875,4.484375,30.546875,28.09375,47.78125,5.734375,32.015625,3.671875,21.21875,16.28125,12.546875,2.828125,8.171875,47.015625,13.28125,33.5,18.828125,10.171875,9.203125,8.484375,9.765625,29.96875,17.1875,7.75,9.78125,9.234375,9.484375,21.3125,30.140625,2.875,24.453125,13.78125,50.171875,9.359375,16.34375,29.9375,5.296875,45.421875,13.6875,12.484375,12.3125
"2021-02-01",49.21875,6.6875,13.90625,20.328125,5.96875,2.90625,32.484375,9.796875,13.015625,6.796875,3.640625,2.984375,18.921875,14.0625,30.609375,3.671875,22.921875,12.0625,15.8125,43.1875,13.890625,1.96875,14.859375,53.90625,27.984375,22.5625,13.40625,9.34375,7.71875,39.453125,29.46875,38.265625,29.078125,6.5625,8.1875,14.796875,12.421875,11.203125,48.90625,12.9375,23.25,9.40625,62.140625,5.609375,27.28125,30.15625,7.390625,39.59375,10.125,29.109375,12.125
"2021-02-02",45.9375,4.390625,8.71875,11.453125,3.96875,7.8125,16.453125,5.921875,7.421875,4.296875,6.25,12.609375,20.890625,16.609375,15.078125,2.71875,11.859375,7.09375,8.890625,25.3125,10.53125,1.4375,14.28125,23.734375,14.109375,11.703125,8.46875,7.6875,4.828125,30.359375,15.5,23.03125,21.046875,4.171875,9.4375,18.859375,7.234375,14.46875,39.21875,15.5625,12.0625,23.03125,32.65625,4.296875,14.203125,19.0625,12.296875,26.6875,6,37.5,7.03125
