"time","ELI_lon"
68300,218.876852537977
68301,219.31953088166
68302,218.930784112058
68303,219.413591081594
68304,217.708279130273
68305,215.947640557645
68306,215.168767705383
68307,216.718205574913
68308,217.203259620908
68309,215.732512327178
68310,212.837513276045
68311,212.80919500688
68312,213.094610659798
68313,216.357530240928
68314,219.07523684741
68315,219.23482643941
68316,218.357384543858
68317,218.701819272291
68318,220.375795027465
68319,220.354696511298
68320,220.359113394216
68321,218.664321548017
68322,215.786522828245
68323,215.95719310079
68324,217.028630056674
68325,217.558714026967
68326,216.825991026526
68327,216.314436895102
68328,217.822616515181
68329,218.428035278664
68330,218.391122859056
68331,217.691414235272
68332,219.033172861621
68333,219.685954456502
68334,219.235125353107
68335,219.174435028249
68336,218.760958691605
68337,218.052110934464
68338,218.205391896674
68339,219.230717439294
68340,218.523965213562
68341,217.722440600978
68342,217.447834645669
68343,216.778208697958
68344,216.663715539403
68345,216.969768477293
68346,216.981588132635
68347,217.034023480546
68348,217.248725555741
68349,215.495899516575
68350,214.630650835532
68351,213.690878983172
68352,213.349509539237
68353,212.597353720886
68354,213.527692119432
68355,212.821704533824
68356,212.088679046212
68357,213.557908861292
68358,213.697093370496
68359,214.702332162373
68360,215.658822797412
68361,215.42805328076
68362,214.65212241346
68363,214.630560169804
68364,216.081941669046
68365,215.559825673534
68366,213.697570300937
68367,210.177783435166
68368,210.988792764451
68369,211.468726765799
68370,213.585281270999
68371,214.991138234194
68372,217.153340457164
68373,217.120570866142
68374,214.844006648416
68375,215.230974144026
68376,216.444438877756
68377,215.277829540997
68378,215.831751054852
68379,215.789117176565
68380,212.500731136674
68381,209.270629845937
68382,209.514875188293
68383,210.274015167474
68384,211.108934088568
68385,212.333644835211
68386,212.078639159405
68387,212.422007468712
68388,211.985017540441
68389,211.456005586592
68390,214.211837858363
68391,213.404120462515
68392,212.469785442694
68393,212.582925899345
68394,213.764764908257
68395,214.464551875304
68396,215.010226487713
68397,214.819275582573
68398,213.739138176638
68399,214.109967455316
68400,214.858530360021
68401,218.064798206278
68402,214.683950722658
68403,209.199650036838
68404,210.905932472481
68405,212.490843086259
68406,214.631601575502
68407,216.342010949317
68408,216.417918704868
68409,216.038175178349
68410,217.447099447514
68411,218.261684692639
68412,217.98038831692
68413,217.646494856887
68414,212.888433954185
68415,211.530729401171
68416,212.541927461719
68417,214.611529733504
68418,215.31920753376
68419,213.428553126068
68420,210.755796845574
68421,211.471119187793
68422,212.801074311491
68423,216.168997997246
68424,217.021076642336
68425,219.899890148011
68426,219.05228173511
68427,217.158621358148
68428,215.388959955506
68429,214.234973579921
68430,214.920999120686
68431,216.586527823874
68432,217.492387687188
68433,220.520890335996
68434,219.844131505676
68435,218.825526592944
68436,217.561101527846
68437,214.612939673806
68438,213.998608237265
68439,215.495303246886
68440,213.839465441101
68441,213.804572122193
68442,214.844771595583
68443,217.5540164664
68444,216.641894804915
68445,213.093698089701
68446,212.789820812872
68447,208.473632109431
68448,206.186208875287
68449,204.944726581304
68450,205.684176458873
68451,206.671224362958
68452,206.170870831128
68453,203.311344314559
68454,202.928653538585
68455,205.305347257172
68456,207.667416775621
68457,209.613152489731
68458,208.211615142267
68459,208.528015995375
68460,208.300908870577
68461,208.988577149474
68462,214.209789495197
68463,215.987530851501
68464,218.095935803258
68465,220.367717414416
68466,219.817103535077
68467,220.05847102946
68468,219.006083324686
68469,218.077536945813
68470,217.369501008549
68471,218.104412051007
68472,216.751440492748
68473,216.065591610605
68474,217.104772191673
68475,216.746167628907
68476,215.855553347904
68477,215.101651873767
68478,213.181370215197
68479,212.992021276596
68480,214.480961468557
68481,214.849891114983
68482,214.709188453645
68483,215.982238729982
68484,218.703560044999
68485,219.500996847181
68486,220.607181273969
68487,221.459725021595
68488,221.64282732541
68489,221.307459190573
68490,220.791307119043
68491,219.325149017416
68492,219.424247412982
68493,218.990149962742
68494,219.100512208813
68495,219.503116473798
68496,220.002365967366
68497,220.466483789398
68498,221.140575892032
68499,221.045907079646
68500,220.865656520173
68501,220.95596069478
68502,222.117135345222
68503,222.013540104947
68504,222.40260216236
68505,221.559828776214
68506,221.112237302977
68507,222.660704445261
68508,222.177079473879
68509,220.613312534923
68510,220.986848409352
68511,218.688140965877
68512,216.479481641469
68513,215.850426500486
68514,214.760766111823
68515,215.157444935724
68516,214.741728911261
68517,217.558945832971
68518,218.69376663709
68519,218.459587782251
68520,217.640819791935
68521,218.258758245676
68522,217.969361413043
68523,218.018574206385
68524,219.681743270463
68525,219.576825881067
68526,218.647427262931
68527,217.915577777778
68528,218.078484795219
68529,218.066244341883
68530,220.333247855278
68531,220.623375400264
68532,220.335453565739
68533,221.250900473934
68534,223.047362890312
68535,224.320707690796
68536,223.532280090412
68537,222.592556024982
68538,221.672361237489
68539,221.259907709012
68540,221.110823898194
68541,221.818281778637
68542,221.650462747651
68543,221.144424729175
68544,221.025794379649
68545,220.629001066951
68546,220.828034942363
68547,221.543810366262
68548,222.21204608604
68549,221.88233028294
68550,221.394810469314
68551,222.254077331867
68552,222.375595729081
68553,221.517579908676
68554,220.514357517482
68555,220.393189845474
68556,220.377015226153
68557,222.413663202645
68558,222.407347802097
68559,221.488261943987
68560,221.613241116033
68561,219.17227443609
68562,218.928583735355
68563,220.240681362725
68564,219.679329663849
68565,222.243406675276
68566,225.149508826169
68567,225.126378495471
68568,222.779493566799
68569,221.794172178793
68570,223.299158467115
68571,220.123473864937
68572,219.489728075826
68573,219.506816015253
68574,220.401489414081
68575,220.877401703476
68576,220.200244599438
68577,220.666086828695
68578,220.847180836204
68579,219.867174320525
68580,218.194090489381
68581,217.238682698545
68582,216.571795646917
68583,216.647773749768
68584,217.385649918078
68585,216.776989426823
68586,212.741956285637
68587,212.43599231245
68588,212.369390682538
68589,212.362904564315
68590,211.185958033065
68591,211.883359456635
68592,209.800608695652
68593,206.90005899009
68594,203.911660382974
68595,200.015682803086
68596,195.351553246474
68597,198.768623770752
68598,200.535073430551
68599,201.039750476956
68600,202.578077674646
68601,206.182345971564
68602,205.869285854424
68603,202.851416983777
68604,198.290297741273
68605,200.299679487179
68606,201.744711538462
68607,199.498369565217
68608,200.809387169502
68609,201.99208086228
68610,202.201146442725
68611,201.751388622869
68612,201.591420400381
68613,202.721541854354
68614,203.537041392286
68615,206.495871985158
68616,209.341639679969
68617,207.805810360051
68618,208.100722938648
68619,210.448233515964
68620,213.36593070969
68621,213.304376124207
68622,213.554232035638
68623,216.474951219512
68624,215.536032456901
68625,210.987265807963
68626,209.942678992113
68627,211.07064669088
68628,213.768715710723
68629,213.054770537399
68630,211.199654170008
68631,208.198400018524
68632,208.306518707319
68633,210.832765406028
68634,212.021326610153
68635,211.52555107664
68636,210.862353991698
68637,211.880105481168
68638,212.665427098674
68639,213.028707233872
68640,209.790567020538
68641,207.856490454501
68642,206.416845823096
68643,206.911790735309
68644,210.249938839417
68645,212.088279348437
68646,214.913991963488
68647,216.503450731899
68648,215.967820242992
68649,215.280631881516
68650,216.950364909145
68651,217.915151966627
68652,217.882244572794
68653,217.737344139651
68654,218.96160705315
68655,219.082397003745
68656,218.784742327736
68657,218.532499517095
68658,217.143543076642
68659,216.159615384615
68660,215.390611873425
68661,214.661389099886
68662,214.646499503476
68663,214.075502611609
68664,213.846558723565
68665,212.226970582689
68666,210.019315956356
68667,210.631155790656
68668,209.627591782385
68669,208.135318679209
68670,208.016187648456
68671,206.900166682317
68672,209.293003605228
68673,210.679492436668
68674,208.524774463776
68675,206.899307545368
68676,206.9497714721
68677,205.463571144871
68678,201.407696421626
68679,201.819751108921
68680,203.769209672804
68681,205.586202830189
68682,206.585667327089
68683,207.028775066999
68684,208.104040331119
68685,211.312593834451
68686,211.8556711146
68687,211.688548018293
68688,210.780777134317
68689,207.705241567912
68690,206.779113475177
68691,207.427985145236
68692,204.752103718199
68693,201.51203484938
68694,195.24824916157
68695,191.560889392916
68696,191.003383699183
68697,193.277200897546
68698,193.42287183843
68699,193.521206533193
68700,193.035679517134
68701,188.037796806052
68702,187.678015310905
68703,188.43805088141
68704,188.628750360612
68705,190.578690303907
68706,192.011127081681
68707,194.562899970464
68708,195.305799883371
68709,192.673558347945
68710,192.123108265425
68711,190.413680203046
68712,190.031440961956
68713,190.343639024858
68714,192.396210699202
68715,194.481741573034
68716,195.921433545563
68717,200.460579074972
68718,202.562293884858
68719,203.628802008608
68720,201.168246677091
68721,201.296917148362
68722,200.418609461696
68723,198.60287099367
68724,198.942554966627
68725,200.866814780168
68726,203.178046218488
68727,208.851003987468
68728,212.67345505618
68729,215.299507042254
68730,215.927327255278
68731,218.533031882281
68732,220.134681270764
68733,219.605534709193
68734,217.729648749611
68735,217.681765642659
68736,212.875451392189
68737,213.48912451747
68738,207.45591850612
68739,203.116981907895
68740,202.555000995719
68741,198.568885330894
68742,195.78925514571
68743,195.88318135765
68744,191.585343586051
68745,190.544233887312
68746,188.458646802613
68747,184.982790382005
68748,185.42267708632
68749,184.739478672986
68750,187.098259218593
68751,189.253044929628
68752,190.318423256634
68753,190.437616864037
68754,188.826766736307
68755,190.303433001107
68756,191.249231881439
68757,194.27469925487
68758,194.621157994068
68759,195.618397805468
68760,195.890122327105
68761,196.649562211981
68762,198.00042979277
68763,198.552290353854
68764,200.383311137417
68765,198.563356164384
68766,193.798875520357
68767,193.451988286067
68768,193.076463986942
68769,191.907395221705
68770,194.707560250076
68771,193.959360481654
68772,194.232613711272
68773,194.488649550334
68774,191.482818532818
68775,190.061778593914
68776,188.972049320536
68777,187.995863410518
68778,187.207304622239
68779,186.880302226935
68780,184.238887024072
68781,183.664392968321
68782,182.755492619293
68783,182.633139050791
68784,184.160189842609
68785,185.629552702249
68786,185.593120665163
68787,185.70518429284
68788,186.613469969312
68789,189.640135699374
68790,190.128480425245
68791,188.576113759658
68792,188.272303581627
68793,186.953788878806
68794,185.888621002308
68795,185.821704490584
68796,186.888261575954
68797,190.30803829928
68798,191.691945257
68799,190.248615327808
68800,188.504166666667
68801,188.775403990436
68802,188.444036015199
68803,185.76333347104
68804,185.13719912922
68805,185.237562189055
68806,184.048354538782
68807,182.676666801849
68808,180.866359109549
68809,181.292885334441
68810,181.160517553235
68811,180.940763092469
68812,180.614056169063
68813,180.076681010215
