table_label,row_label,cutoff,horizon_days,source_class,source_path,model_selector,mean_crps
tab:he3_ablation_crps,RAW-GLOFAS,20210123,28,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20210123_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.40365981766818682
tab:he3_ablation_crps,RAW-GLOFAS,20211112,28,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211112_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.16957475641561054
tab:he3_ablation_crps,RAW-GLOFAS,20211221,28,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211221_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.68246362689335638
tab:he3_ablation_crps,RAW-GLOFAS,20220511,28,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20220511_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.27226751146296646
tab:he3_ablation_crps,RAW-GLOFAS,20221225,28,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20221225_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,1.5600635885630345
tab:he3_ablation_crps,exAL-M-T1 (full),20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.13970885484786341
tab:he3_ablation_crps,exAL-M-T1 (full),20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.0472363501409808
tab:he3_ablation_crps,exAL-M-T1 (full),20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.26044660089543042
tab:he3_ablation_crps,exAL-M-T1 (full),20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.022728178320301256
tab:he3_ablation_crps,exAL-M-T1 (full),20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.5380554847458453
tab:he3_ablation_crps,exAL-M-T1-noTrend,20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.0515922245361906
tab:he3_ablation_crps,exAL-M-T1-noTrend,20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.72342722980913965
tab:he3_ablation_crps,exAL-M-T1-noTrend,20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,2.517482779589606
tab:he3_ablation_crps,exAL-M-T1-noTrend,20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.53256630787106596
tab:he3_ablation_crps,exAL-M-T1-noTrend,20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,4.0588069170256018
tab:he3_ablation_crps,exAL-M-noTF,20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_drop,1.7360957277723661
tab:he3_ablation_crps,exAL-M-noTF,20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_drop,1.7140899592218872
tab:he3_ablation_crps,exAL-M-noTF,20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_drop,2.3286287601077307
tab:he3_ablation_crps,exAL-M-noTF,20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_drop,2.4770299350386948
tab:he3_ablation_crps,exAL-M-noTF,20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_drop,2.1727967661367638
tab:he3_ablation_crps,exAL-M-T1-noH1,20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.2786086911429619
tab:he3_ablation_crps,exAL-M-T1-noH1,20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.601420047530022
tab:he3_ablation_crps,exAL-M-T1-noH1,20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,2.8301725629702932
tab:he3_ablation_crps,exAL-M-T1-noH1,20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.0995628278823841
tab:he3_ablation_crps,exAL-M-T1-noH1,20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,4.4588730447064675
tab:he3_ablation_crps,exAL-M-T1-noH2,20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.72689574708589799
tab:he3_ablation_crps,exAL-M-T1-noH2,20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.046992391360837
tab:he3_ablation_crps,exAL-M-T1-noH2,20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,2.9651285847201558
tab:he3_ablation_crps,exAL-M-T1-noH2,20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.91192945521583668
tab:he3_ablation_crps,exAL-M-T1-noH2,20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,4.647085049293147
tab:he3_ablation_crps,exAL-M-T1-noH3,20210123,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.0828143384638242
tab:he3_ablation_crps,exAL-M-T1-noH3,20211112,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.0356247764306288
tab:he3_ablation_crps,exAL-M-T1-noH3,20211221,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,2.5833284975705157
tab:he3_ablation_crps,exAL-M-T1-noH3,20220511,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.68641688742850193
tab:he3_ablation_crps,exAL-M-T1-noH3,20221225,28,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,4.4387852096177083
tab:he3_ablation_crps_nws_horizon,RAW-GLOFAS,20210123,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20210123_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.57250615774249891
tab:he3_ablation_crps_nws_horizon,RAW-NWS,20210123,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20210123_exal_m_t1/crps_forecast_per_time.csv,model_id=nws_nwm_ensemble,0.83036605178260892
tab:he3_ablation_crps_nws_horizon,RAW-GLOFAS,20211112,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211112_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.20669930642272705
tab:he3_ablation_crps_nws_horizon,RAW-NWS,20211112,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211112_exal_m_t1/crps_forecast_per_time.csv,model_id=nws_nwm_ensemble,1.3719166338517024
tab:he3_ablation_crps_nws_horizon,RAW-GLOFAS,20211221,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211221_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,1.2912705591052758
tab:he3_ablation_crps_nws_horizon,RAW-NWS,20211221,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20211221_exal_m_t1/crps_forecast_per_time.csv,model_id=nws_nwm_ensemble,0.28117590724791858
tab:he3_ablation_crps_nws_horizon,RAW-GLOFAS,20220511,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20220511_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,0.32273633935233281
tab:he3_ablation_crps_nws_horizon,RAW-NWS,20220511,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20220511_exal_m_t1/crps_forecast_per_time.csv,model_id=nws_nwm_ensemble,0.28365909559653479
tab:he3_ablation_crps_nws_horizon,RAW-GLOFAS,20221225,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20221225_exal_m_t1/crps_forecast_per_time.csv,model_id=glofas_ensemble,1.4818843329328313
tab:he3_ablation_crps_nws_horizon,RAW-NWS,20221225,8,raw_forecast_product,artifacts/five_cutoff_crps_validation_sources/20221225_exal_m_t1/crps_forecast_per_time.csv,model_id=nws_nwm_ensemble,0.55680206834701029
tab:he3_ablation_crps_nws_horizon,exAL-M-T1 (full),20210123,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.22690530122129887
tab:he3_ablation_crps_nws_horizon,exAL-M-T1 (full),20211112,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.058578941774918528
tab:he3_ablation_crps_nws_horizon,exAL-M-T1 (full),20211221,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.59444516945988957
tab:he3_ablation_crps_nws_horizon,exAL-M-T1 (full),20220511,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.025672517529708762
tab:he3_ablation_crps_nws_horizon,exAL-M-T1 (full),20221225,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.59070497152560109
tab:he3_ablation_crps_nws_horizon,exAL-M-T1-noTrend,20210123,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,1.4949015310333733
tab:he3_ablation_crps_nws_horizon,exAL-M-T1-noTrend,20211112,8,he3_authoritative_ablation,SOURCE_RUNTIME_REFERENCE,model_id=exdqlm_multivar_synth_keep,0.77464176606348811
