grid_spec_id,discount_case_id,epsilon,c_factor,df_t,df_s1,df_s2,df_s67,df_discrep,lambda,df_trans,df_covs,max_iter,min_update_iters,notes
c01_eps365,c01,365,1,0.9999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_1
c01_eps180,c01,180,1,0.9999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_1
c01_eps090,c01,90,1,0.9999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_1
c01_eps060,c01,60,1,0.9999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_1
c01_eps030,c01,30,1,0.9999,0.9995,0.9995,0.9999,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_1
c02_eps365,c02,365,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_2
c02_eps180,c02,180,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_2
c02_eps090,c02,90,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_2
c02_eps060,c02,60,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_2
c02_eps030,c02,30,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.9999999,100,50,user_grid_case_2
c03_eps365,c03,365,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_3
c03_eps180,c03,180,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_3
c03_eps090,c03,90,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_3
c03_eps060,c03,60,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_3
c03_eps030,c03,30,1,0.99995,0.9995,0.9995,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_3
c04_eps365,c04,365,1,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_4
c04_eps180,c04,180,1,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_4
c04_eps090,c04,90,1,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_4
c04_eps060,c04,60,1,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_4
c04_eps030,c04,30,1,0.9995,0.999,0.999,0.9995,0.999,0.97,0.9999999,0.99999,100,50,user_grid_case_4
c05_eps365,c05,365,1,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999,100,50,user_grid_case_5
c05_eps180,c05,180,1,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999,100,50,user_grid_case_5
c05_eps090,c05,90,1,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999,100,50,user_grid_case_5
c05_eps060,c05,60,1,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999,100,50,user_grid_case_5
c05_eps030,c05,30,1,0.9999,0.9993,0.9993,0.9995,0.9988,0.97,0.9999999,0.99999,100,50,user_grid_case_5
c06_eps365,c06,365,1,0.99999,0.9995,0.9995,0.9995,0.9995,0.97,0.9999999,0.999999,100,50,user_grid_case_6
c06_eps180,c06,180,1,0.99999,0.9995,0.9995,0.9995,0.9995,0.97,0.9999999,0.999999,100,50,user_grid_case_6
c06_eps090,c06,90,1,0.99999,0.9995,0.9995,0.9995,0.9995,0.97,0.9999999,0.999999,100,50,user_grid_case_6
c06_eps060,c06,60,1,0.99999,0.9995,0.9995,0.9995,0.9995,0.97,0.9999999,0.999999,100,50,user_grid_case_6
c06_eps030,c06,30,1,0.99999,0.9995,0.9995,0.9995,0.9995,0.97,0.9999999,0.999999,100,50,user_grid_case_6
