cutoff,artifact,comparison_basis,all_equal,distinct_hashes,missing_count,hash_groups_json,missing_labels
20210123,parameters,sha256_16,True,1,0,"{""053751db21f49dc0"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,retros,semantic_csv_against_canonical_bundle,True,2,0,"{""7a1f769a4c0ac288"":[""AL-M-T0"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-U-T1""],""b2c4ab07b6ed8c69"":[""AL-M-T1"",""exAL-M-T1""]}",
20210123,nws_forecast,sha256_16,True,1,0,"{""1439a5d9753a6146"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,glofas_forecast,sha256_16,True,1,0,"{""cdcc54f3fd6e2a4c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,usgs_daily,sha256_16,True,1,0,"{""5ade1b3728d1a2ae"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,cov_01_PPT,sha256_16,True,1,0,"{""b3f1a160b6f937c4"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,cov_02_SOIL,sha256_16,True,1,0,"{""d253d932673ae44c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,cov_03_PCA,sha256_16,True,1,0,"{""bf77eb613a082b03"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,covariate_features,sha256_16,True,1,0,"{""53cb98b286a6a3b8"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,deterministic_precip_future,sha256_16,True,1,0,"{""66d6171569624e7c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20210123,deterministic_soil_future,sha256_16,True,1,0,"{""597d6a4108538a94"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
