"target_date","member_00","member_01","member_02","member_03","member_04","member_05","member_06","member_07","member_08","member_09","member_10","member_11","member_12","member_13","member_14","member_15","member_16","member_17","member_18","member_19","member_20","member_21","member_22","member_23","member_24","member_25","member_26","member_27","member_28","member_29","member_30","member_31","member_32","member_33","member_34","member_35","member_36","member_37","member_38","member_39","member_40","member_41","member_42","member_43","member_44","member_45","member_46","member_47","member_48","member_49","member_50"
"2021-12-22",1.984375,1.984375,1.984375,2,1.984375,1.984375,1.984375,1.984375,1.984375,2,2,1.984375,1.984375,1.984375,1.984375,2.09375,2.03125,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,2.015625,1.984375,2.078125,1.96875,2.046875,1.984375,1.984375,1.984375,2,1.984375,1.984375,2.015625,2.109375,2.046875,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,1.984375,2,1.984375,1.984375,2.0625
"2021-12-23",5.65625,2.90625,3.3125,2.296875,2.828125,2.328125,2.984375,3.21875,4.484375,3.25,3.40625,3.296875,3.421875,4.21875,3.734375,4.328125,4.234375,3.15625,3.78125,2.78125,3.046875,2.078125,2.96875,3.859375,2.21875,1.96875,2.53125,3.1875,2.09375,2.453125,2.59375,2.203125,3.9375,2.90625,2.546875,2.703125,3.265625,2.453125,3.65625,2.46875,2.78125,3.640625,3.03125,3.53125,6.453125,2.765625,3.25,3.984375,3.03125,2.75,2.734375
"2021-12-24",9.453125,3.390625,4.1875,2.359375,4.75,3.484375,3.265625,3.359375,7.96875,6.34375,5.390625,5.875,3.984375,7.484375,6.5625,7.578125,6.171875,3.203125,6.859375,3.390625,4.15625,2.84375,3.75,6.34375,3.265625,2.25,4.4375,5.34375,3.40625,4.90625,5.171875,3.75,7.09375,4.84375,3.40625,4.78125,5.578125,4.90625,6.796875,3.234375,5.21875,6.984375,5.9375,6.515625,10.390625,5.46875,4.578125,6.484375,4.453125,4.046875,4.140625
"2021-12-25",9.875,3.234375,3.859375,2.109375,6.0625,3.125,2.90625,3.5,7.890625,5.984375,5.53125,8.96875,3.578125,8.46875,7.6875,7.59375,6.0625,2.84375,7.3125,3.421875,3.921875,2.59375,3.4375,6.40625,3.203125,2,4.0625,5,4.25,5.5625,4.71875,3.421875,7.65625,5.59375,3.25,4.96875,5.25,4.546875,7.859375,2.96875,5.359375,8.59375,8.625,7.359375,9.40625,5.40625,5.734375,7.59375,4.96875,3.6875,5.765625
"2021-12-26",9.328125,3.34375,4.90625,2.28125,5.875,3.71875,2.9375,4.21875,7.203125,5.84375,5.9375,9.09375,3.59375,8.28125,7.15625,8.140625,6.421875,2.78125,7.75,3.28125,4.5625,3.0625,4.453125,6.984375,3.1875,2.46875,3.640625,5.03125,4.453125,5.703125,4.640625,3.828125,7.28125,6.40625,3.796875,4.640625,4.9375,4.5625,7.453125,3.375,4.9375,8.453125,8.796875,7.59375,9,5.171875,5.671875,7.3125,5.375,3.453125,6.0625
"2021-12-27",8.34375,3.21875,4.59375,2.40625,5.578125,3.578125,2.65625,3.8125,6.515625,5.21875,5.578125,8.1875,3.234375,7.625,6.375,7.296875,6.15625,2.546875,7.03125,2.984375,4.671875,3.0625,4.09375,6.59375,3.40625,2.703125,3.515625,4.5625,4.375,5.390625,4.265625,3.484375,6.71875,6.078125,3.546875,4.21875,4.46875,4.3125,6.84375,3.03125,4.828125,8.328125,8.09375,6.78125,8.25,5.375,5.15625,6.75,4.859375,3.296875,5.703125
"2021-12-28",7.40625,3.609375,4.9375,2.625,5.515625,3.25,2.328125,4.09375,6.8125,5.09375,5.109375,7.578125,3.484375,7.15625,6.578125,6.90625,7.265625,2.453125,6.3125,3.34375,4.34375,3.921875,4.09375,6.640625,3.109375,2.875,3.25,5.015625,3.90625,5.21875,5.34375,3.515625,6.140625,6.0625,3.4375,5.015625,4.671875,4.0625,6.640625,2.796875,5.203125,7.6875,8.078125,6.921875,7.265625,5.28125,5.234375,6.609375,4.34375,2.984375,5.3125
"2021-12-29",6.65625,3.21875,5.171875,2.765625,5.953125,2.90625,2.28125,3.65625,6.359375,4.640625,5.046875,6.765625,3.21875,6.390625,6.890625,6.203125,7.015625,2.359375,5.78125,3.09375,4.265625,3.546875,3.84375,5.96875,2.859375,3.421875,3.203125,4.953125,4.03125,5.03125,5.125,3.21875,5.640625,5.4375,3.046875,4.6875,4.546875,3.859375,6.015625,2.46875,4.734375,7.4375,8.078125,6.296875,6.515625,4.703125,4.703125,6.3125,3.875,2.734375,4.796875
"2021-12-30",6.265625,3.28125,4.640625,2.5,5.796875,4.640625,2.015625,3.25,8.28125,4.125,5.046875,6.015625,2.921875,5.90625,6.171875,5.53125,6.640625,2.1875,5.140625,3.34375,3.921875,4.5,3.546875,7.09375,2.515625,3.75,3.125,4.90625,3.609375,4.90625,5.34375,2.90625,5.171875,4.84375,2.859375,4.34375,4.40625,3.671875,6.109375,2.171875,4.96875,6.671875,7.359375,5.6875,5.828125,5.078125,4.796875,5.953125,3.453125,2.984375,4.3125
"2021-12-31",5.5625,3.109375,4.3125,3.125,5.25,4.59375,1.765625,2.875,10.046875,3.734375,5.046875,5.359375,2.734375,5.25,5.5,4.90625,6.15625,2.109375,4.5625,3.234375,3.578125,4.546875,3.34375,6.4375,2.21875,4.25,2.796875,4.71875,3.21875,4.421875,5.734375,2.578125,4.59375,4.3125,2.515625,4.109375,3.953125,3.6875,5.453125,1.90625,5,6.203125,6.625,5.0625,5.15625,4.546875,5.078125,5.3125,3.0625,3.484375,3.84375
